name,email,username,address,role
Jane Smith,jane.smith@example.com,janesmith,456 Elm St,USER
Michael Johnson,michael.j@example.com,mjohnson,789 Pine St,USER
Emily Davis,emily.d@example.com,emilydavis,101 Oak St,ADMIN
holly drew,example@gmail.com,hdmange,26 H7,ADMIN
Sarah Wilson,sarah.w@example.com,sarahwilson,303 Birch St,USER
Daniel Lee,daniel.l@example.com,daniellee,404 Cedar St,ADMIN
Jessica Martinez,jessica.m@example.com,jessicam,505 Walnut St,USER
Neo Nikel,exampl@gmail.com,neonike,1849 St 19,ADMIN
Paul Garcia,example@gmail.com,paulgarcia,606 Ash St,USER
Laura Clark,xxyacxhaisha@gmail.com,lauraclark,707 Cherry St,ADMIN
